Symbol      Rev_G1(%)  Rev_G2(%)  OpM_G1(%)  OpM_G2(%)       MarketCap
021050         638.10     529.83    3831.22    2033.59           573.5
003480            NaN        NaN      38.13     387.55         1,641.9
210980        1628.13      56.10        NaN        NaN         1,796.6
005710            NaN        NaN     181.14     357.64         1,891.5
194370          41.58      45.79      47.05      40.50         3,232.0
011760            NaN        NaN      63.09      79.44         3,505.7
059090          74.13      41.84      52.06     576.37         4,337.5
241590          22.60      49.59     151.91     392.35         4,744.1
084370            NaN        NaN     678.50     501.89         7,436.3
033500          25.57      31.39      23.76      29.30         7,797.3
009450            NaN        NaN      20.10     117.55        10,941.0
000500          58.96      37.50      71.26      61.32        11,646.4
012630            NaN        NaN     173.62      73.19        11,709.4
089860            NaN        NaN      83.73     879.62        11,855.0
003570          31.63      30.52      60.43     212.33        13,966.1
112610          22.42      79.98        NaN        NaN        20,811.6
007660          30.46      24.18     141.06      96.84        28,189.1
257720          63.86      64.24      62.07      78.67        28,873.1
039490          69.74      29.23        NaN        NaN        39,799.1
214450          56.47      47.34      67.74      65.38        47,398.3
298040            NaN        NaN     232.66      28.37        57,719.0
326030          26.67      28.61     149.34     175.02        72,831.3
042700          90.63     186.50     142.57     290.62        77,677.9
003230          37.14      46.55      67.24     142.37        83,691.8
086280            NaN        NaN      30.07      55.97        85,050.0
064350          57.28      45.65     353.98     131.70       159,784.3
011200          52.94      67.03    2260.81    1827.50       218,333.4
042660            NaN        NaN     322.82     102.55       239,002.4
068270            NaN        NaN     421.64   51951.09       358,105.8
012450          55.81      61.91     224.64     457.65       383,572.2
000660          41.91      74.84     157.81    2235.84     1,488,764.8
005930            NaN        NaN      21.74      22.22     3,326,836.5
